Transition,TwoLegged,Angle,Distance,PlayerType_C,PlayerType_F,PlayerType_G,Competition_EURO,Competition_NBA,Competition_SLO1,Competition_U14,Competition_U16,Movement_dribble or cut,Movement_drive,Movement_no,target
0,1,76.16,5.57,0,0,1,0,0,0,1,0,0,0,1,1
0,1,47.98,5.05,0,0,1,0,0,0,1,0,0,0,1,1
1,0,40.74,4.1,0,0,1,0,0,0,1,0,1,0,0,6
0,1,10.7,4.04,0,0,1,0,0,0,1,0,0,0,1,1
0,1,87.88,6.92,0,0,1,0,0,0,1,0,0,0,1,1
0,0,45.46,0.9,0,0,1,0,0,0,1,0,1,0,0,2
0,1,14.18,0.87,0,0,1,0,0,0,1,0,0,0,1,3
0,1,7.11,3.89,0,0,1,0,0,0,1,0,0,0,1,1
1,0,59.97,0.62,0,0,1,0,0,0,1,0,1,0,0,2
0,1,4.14,3.71,0,0,1,0,0,0,1,0,0,0,1,1
0,0,64.48,0.59,0,0,1,0,0,0,1,0,1,0,0,2
0,0,32.14,1.51,0,0,1,0,0,0,1,0,0,0,1,6
0,1,52.74,7.27,0,0,1,0,0,0,1,0,0,0,1,1
0,1,13.31,6.52,0,0,1,0,0,0,1,0,0,0,1,1
0,0,64.48,0.59,0,0,1,0,0,0,1,0,0,1,0,6
1,0,27.18,0.47,0,0,1,0,0,0,1,0,0,0,1,6
0,0,14.14,1.1,0,0,1,0,0,0,1,0,0,0,1,1
0,0,51.36,0.75,0,0,1,0,0,0,1,0,0,0,1,1
0,1,68.3,0.69,0,0,1,0,0,0,1,0,0,0,1,2
1,0,54.7,0.72,0,0,1,0,0,0,1,0,0,0,1,1
0,1,26.12,7.3,0,0,1,0,0,0,1,0,0,0,1,1
0,1,51.99,7.41,0,0,1,0,0,0,1,0,0,0,1,1
1,0,78.94,0.49,0,0,1,0,0,0,1,0,1,0,0,2
0,0,55.7,0.45,0,0,1,0,0,0,1,0,0,1,0,2
0,0,75.28,1.22,0,0,1,0,0,0,1,0,1,0,0,6
0,1,1.06,2.89,0,0,1,0,0,0,1,0,0,0,1,1
0,1,33.16,5.39,0,0,1,0,0,0,1,0,0,0,1,1
0,0,10.1,0.92,0,0,1,0,0,0,1,0,1,0,0,6
0,0,60.04,1.05,0,0,1,0,0,0,1,0,1,0,0,6
0,1,82.23,1.89,0,0,1,0,0,0,1,0,0,0,1,1
0,0,16.14,0.77,0,0,1,0,0,0,1,0,0,0,1,6
1,0,42.29,0.64,0,0,1,0,0,0,1,0,1,0,0,6
1,1,66.54,0.64,0,0,1,0,0,0,1,0,0,0,1,2
1,0,62.05,0.55,0,0,1,0,0,0,1,0,1,0,0,2
0,1,62.28,0.67,0,0,1,0,0,0,1,0,0,0,1,2
0,0,48.67,0.71,0,0,1,0,0,0,1,0,0,0,1,1
0,1,7.63,7.27,0,0,1,0,0,0,1,0,0,0,1,1
0,1,20.7,7.12,0,0,1,0,0,0,1,0,0,0,1,1
1,0,76.6,3.19,0,0,1,0,0,0,1,0,1,0,0,2
0,0,66.54,0.64,0,0,1,0,0,0,1,0,0,1,0,6
0,1,75.16,7.09,0,0,1,0,0,0,1,0,0,0,1,6
1,0,64.28,0.71,0,0,1,0,0,0,1,0,1,0,0,6
0,1,14.61,7.22,0,0,1,0,0,0,1,0,0,0,1,6
0,1,5.61,7.13,0,0,1,0,0,0,1,0,0,0,1,1
0,1,33.07,0.88,0,0,1,0,0,0,1,0,0,0,1,1
0,1,16.75,1.67,0,0,1,0,0,0,1,0,0,0,1,1
0,1,61.26,7.03,0,0,1,0,0,0,1,0,0,0,1,6
0,1,43.36,1.09,0,0,1,0,0,0,1,0,0,0,1,1
0,1,6.89,7.15,0,0,1,0,0,0,1,0,0,0,1,1
1,1,46.07,0.45,0,0,1,0,0,0,1,0,0,0,1,2
0,0,57.01,0.77,0,0,1,0,0,0,1,0,1,0,0,2
0,1,6.03,7.13,0,0,1,0,0,0,1,0,0,0,1,6
